fwd_std_ms,fwd_idx_ms,fwd_speedup,step_std_ms,step_idx_ms,step_speedup,flops_std,flops_idx,flop_ratio,tflops_std,tflops_idx,idx_faster_fwd,idx_faster_step,active_kb,B,d_std,d_idx,K,seq,N,fixed_dim,params_std,params_idx,ppl_ratio,val_mse_std,val_mse_idx,pareto_win
0.8735999981581699,0.7779999996273546,1.1228791755483365,2.3919000013847835,4.683249999288819,0.5107350668335042,524288,15488,33.85123966942149,4.9164003034056485,0.16308187154340836,True,False,60.5,32,256,44,32,256,8192,False,263168,247984,1.002783933838471,0.0052442606538534164,0.008024326525628567,False
3.7960499994369457,3.1003500007500406,1.2243940195521796,8.524599999873317,18.947149999803514,0.4499146309583087,524288,15488,33.85123966942149,4.525722576506692,0.16369467443263577,True,False,60.5,32,256,44,32,1024,32768,False,263168,247984,1.002783933838471,0.0052442606538534164,0.008024326525628567,False
14.085750000958797,12.869849999333383,1.0944766257328868,34.73820000181149,95.21660000064003,0.364833442924637,524288,15488,33.85123966942149,4.878652306857808,0.1577363478288519,True,False,60.5,32,256,44,32,4096,131072,False,263168,247984,1.002783933838471,0.0052442606538534164,0.008024326525628567,False
0.8646999995107763,0.3810500002146,2.2692560005873084,2.146950000678771,2.137250001396751,1.0045385421806905,524288,8192,64.0,4.967002773713399,0.17611563826848337,True,True,32.0,32,256,32,64,256,8192,False,263168,262272,1.0047566969379504,0.005285264458507299,0.010030684061348438,False
3.8227499990171054,1.2660499996854924,3.019430512196785,9.013400000185356,8.316249999552383,1.0838298512755746,524288,8192,64.0,4.494112664552282,0.21202595163436183,True,True,32.0,32,256,32,64,1024,32768,False,263168,262272,1.0047566969379504,0.005285264458507299,0.010030684061348438,True
14.36180000200693,5.398399998739478,2.6603808545792083,35.0755500003288,43.13304999959655,0.8131942907041557,524288,8192,64.0,4.784879104735971,0.19890001190180753,True,False,32.0,32,256,32,64,4096,131072,False,263168,262272,1.0047566969379504,0.005285264458507299,0.010030684061348438,False
0.8890499993867707,0.27260000024398323,3.2613719684191143,2.2215500011952827,1.369949999570963,1.6216285279689195,524288,3200,163.84,4.830962599361665,0.0961643432741655,True,True,12.5,32,256,20,128,256,8192,False,263168,204880,1.0071203546036394,0.005355647765100002,0.01245077233761549,True
3.842399999484769,0.8388999995077029,4.580283706925295,9.525149998808047,4.936799999995856,1.9294178412769492,524288,3200,163.84,4.471129811134619,0.12499415909111249,True,True,12.5,32,256,20,128,1024,32768,False,263168,204880,1.0071203546036394,0.005355647765100002,0.01245077233761549,True
14.427099999011261,3.276999999798136,4.40253280436374,35.08819999842672,25.296600000729086,1.3870717802951946,524288,3200,163.84,4.7632217660312595,0.12799218798469242,True,True,12.5,32,256,20,128,4096,131072,False,263168,204880,1.0071203546036394,0.005355647765100002,0.01245077233761549,True
0.9146500015049241,0.27115000011690427,3.373225156225631,2.2499999995488906,1.218499999595224,1.84653262231951,524288,2048,256.0,4.695749509575524,0.06187429833216534,True,True,8.0,32,256,16,256,256,8192,False,263168,262208,1.0207615189858636,0.005254155024886131,0.025803091004490852,False
4.072300002007978,0.7796000008966075,5.223576189487533,9.343850000732346,3.6559500003932044,2.5557926119688172,524288,2048,256.0,4.218714037651675,0.08608114920833633,True,True,8.0,32,256,16,256,1024,32768,False,263168,262208,1.0207615189858636,0.005254155024886131,0.025803091004490852,False
14.372500001627486,2.63710000217543,5.450115653472049,35.0234499983344,18.242350000946317,1.919897929626258,524288,2048,256.0,4.781316870984065,0.10179191376078224,True,True,8.0,32,256,16,256,4096,131072,False,263168,262208,1.0207615189858636,0.005254155024886131,0.025803091004490852,False
0.8496999998897081,0.17854999896371737,4.758891093930352,2.0477500002016313,0.7501999989472097,2.7296054426490715,524288,512,1024.0,5.054686708906074,0.023490921446895737,True,True,2.0,32,256,8,512,256,8192,False,263168,131104,1.0124922509562584,0.005287532228976488,0.01770239882171154,False
3.431549999731942,0.40609999996377155,8.450012312332117,8.79365000037069,1.5949000007822178,5.513605866234779,524288,512,1024.0,5.006445829243932,0.04131301650208497,True,True,2.0,32,256,8,512,1024,32768,False,263168,131104,1.0124922509562584,0.005287532228976488,0.01770239882171154,False
14.402699998754542,1.2621999994735233,11.410790686707381,35.020499999518506,6.25814999875729,5.595982839413036,524288,512,1024.0,4.771291267744411,0.05316816988432245,True,True,2.0,32,256,8,512,4096,131072,False,263168,131104,1.0124922509562584,0.005287532228976488,0.01770239882171154,False
1.7175499997392762,1.1811000003945082,1.4541952410173433,4.413550001117983,7.507199999963632,0.5879089409019826,1179648,32768,36.0,5.626430914655727,0.22727580722236715,True,False,128.0,32,384,64,32,256,8192,False,591360,524544,1.0066565667681622,0.005621940363198519,0.012256450019776821,False
7.404600000882056,4.916699997920659,1.5060101295612023,17.781200000172248,34.27275000103691,0.5188145100592828,1179648,32768,36.0,5.2203637818917095,0.2183866870978706,True,False,128.0,32,384,64,32,1024,32768,False,591360,524544,1.0066565667681622,0.005621940363198519,0.012256450019776821,False
29.500299999199342,19.726349999473314,1.495476862165935,71.71974999801023,150.64970000094036,0.4760696503050624,1179648,32768,36.0,5.2412627214027125,0.21772742023307273,True,False,128.0,32,384,64,32,4096,131072,False,591360,524544,1.0066565667681622,0.005621940363198519,0.012256450019776821,False
